Category,Recommendation Type,Item,Link
T-Shirt – Navy Blue,"Same Color, Same Type",Navy Blue Cotton T-Shirt,https://www.amazon.in/Veirdo%C2%AENavy-Oversized-Shoulder-Sleeves-OS_100_NAVY_L/dp/B0CS34JQX2/ref=sr_1_7?dib=eyJ2IjoiMSJ9.FkN1OFA9ZWe-HJbyqyGnKHMZwEy7JBj9s_aE2Y3f20J1UvwXgap0e4m42Nt-Hj-Aq-Cx5UMNMhUURQ3d2ub0wQilOTufQKOJZ2AzbIGcu3c5m8HqAvGL6u4koS_s2cm8otDj2H-16g0wAP2QFYOYKHiFo-hjAwAPqLJNTtLkkaOdSaLOYZuF50-j9u7_NLKPtxRbigtfqUMSRKv34QcDck2RO3rubqVhyI9ZdyUYb9mLV-gUNzuQ2-TYnC5JjD7oKg9UlpszE7T26fmx4odLyJqmWRBFK-nNy0X9T6-q2u2Z-WvYqP4YtquvKs0gHm-C8vkN0UgK2BfdEnrrMs-y7EOJN1Cm7QCzlB_NdgvYfn1MEprwJmcv3uTzHn52GDsZ64uV-DF0gbVo60IOqRbfOBqmSto1MhxXsVviFvrs7f0Np5sidtUoFpBurRtnFB1V.SimZNBpIauNuCjJd2lTVnzMyDMpmGkIGaEcpL9GbbQY&dib_tag=se&keywords=navy+blue+cotton+tshirt&qid=1742907285&sr=8-7
T-Shirt – Navy Blue,"Same Color, Different Type",Navy Blue Polo T-Shirt,https://www.amazon.in/DADU-DAYAL-Mens-Solid-T-Shirt/dp/B0F1KHGJW6/ref=sr_1_8?crid=4HHGWFXA66N&dib=eyJ2IjoiMSJ9.Py1dsK6FI1p6yXG5GMlhgyvfJyB40pnPTZwtQUCw8CV-T96W1SOkJ5_mnehXXfivopuJpW8t6mQLd-3C3f_ilbS1t4tVVFY6nx7okaM3BSm8fcdS7rxn5BfgLdCp-jnraGZan0nZbf8gwQqthujQP1mq9ppZHqq5BNcM6QC4cs_sTGnViQwyXf9o1VK6ZIRLIBg1tg1ticuXQX9_DXEBO3XWcnYl0tkNoVtgouHZeCX0rd5etua8ATECkZCaooUM-8YABipcQVHFAU0N6QFJH_nxjDI2rR2iOgDN1FgL6khF9ZtvUjQJuviu14Dsl1eXnskIWtOoyN9qdYS3s_XO-4lFxtX6rdlOt1fzZHA4pV0Km4q97VvKn5pJoyY2_shVbOA9TfsL5ELM1fTgzn2x-9k7wu5iHzjmWzvcRyfMmvIKSz-XI1j8NMK5vfEMr1cM.oGuM5guS9AsyrCqwmKBaEqYeCtMGYaNcQzw46fmMhdg&dib_tag=se&keywords=https%3A%2F%2Fwww.amazon.in%2Fs%3Fk%3Dnavy%2Bblue%2Bpolo%2Btshirt&qid=1742907308&sprefix=https+%2F%2Fwww.amazon.in%2Fs+k+navy%2Bblue%2Bpolo%2Btshirt%2Caps%2C186&sr=8-8
T-Shirt – Navy Blue,"Different Color, Same Type",Black Cotton T-Shirt,https://www.amazon.in/XYXX-Solid-Regular-T-Shirt-XY_CR15_Tshirt_1_Black/dp/B0CBBDWJH9/ref=sr_1_9?dib=eyJ2IjoiMSJ9.5VmSe2SaTjOexNUgrG7E1zAu-S6clg-0aBZ9EZY-6N4_UJJFerk_gqDQy6RbGDHU6ymMAZBQFpKSyTGwOZdn5uTTReGGRp3pRCYFGrNm3lzgLWTUx9qmW0KlvAGkv19S0xR_UJqpgiIRMv9j3mjlXNK6cBrVq7Z_IOy9zPzzdsvUcFmgnuSV8pdDiOEvBZHDhIOxdF_GCjdDT9-8H7JP3zeJib80f0u91IF6dydRQPeyADGhs6IDqsZoJJqjxmRdnaKcmXVDysh2kA6O27XZWLDT5OzPzpy93BWyAGJZvdSi6j8ZgJFwnxbaJdigr7WS81P602Eb84CkNd29OpNGCJGrRmIncayqOGFc4ofKjB8OexQByJd0OQx4N5arI4BEdO279Y7JN9OVvESy4sV8izWE23EqEzP3UrBmWNYisWMgNrflt6vobEgRi6hKFr8e.AcoHL_8J2-IbfX6GaHkz3hDPeyu7WdcDZL2KBlZxRAM&dib_tag=se&keywords=black+cotton+tshirt&qid=1742907321&sr=8-9
T-Shirt – Navy Blue,"Different Color, Different Type",Grey Polo T-Shirt,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMzczOTU3MTc4NDQ0NDAzOjE3NDI5MDczMzk6c3BfYXRmOjMwMDExNjgyOTQxMzczMjo6MDo6&url=%2FSymbol-Premium-Solid-Regular-SYP-A22-PL-01_Steel%2Fdp%2FB0C46CNQ1B%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.D68yRo5XMZ-5Y1S8Y6OVBUmDx1SRK-2cEDGWKxaDJddjDX1romvTIVqmw7leTI2Y40w8nJZPn-z1nDAGlhqOy8bIBEGHODQkpaZxC5zSWvkzRPSyqrI19CNXCsnPCSSdaaYw0z0-E_aha6OhqqecY-a075vp2RF-2a7EzujXrIHqAkf84r-aJ9e8THeUG5WPo7ykwmx-I4KYQCbuT6bxkEAEv9kGxfDsaKOEtPZIMjrK8mU3DcLFjiAlSqrYRsb8SdSASFcCTQpmPdTg5P7YLjSSpRrteCVNnV_oX41U5R4.oQo-TT0IacdIVOXc7H6rzJfTc_efA5TgsnUI3qJSbhk%26dib_tag%3Dse%26keywords%3Dgrey%2Bpolo%2Bshirt%26qid%3D1742907338%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Hoodie – Olive Green,"Same Color, Same Type",Olive Green Zip-Up Hoodie,https://www.amazon.in/Shasmi-Solid-Color-Long-Sleeve/dp/B0DMT25DW3/ref=sr_1_3?dib=eyJ2IjoiMSJ9.WsZ_eHxAEJejVTTOApfTFKRx5Ftxl4ALPP-VhSd8sG3I3m0kmXDueXViy8Y8Tni-XmrPBIOPr04XCn9ACNTnRYlQKY9erAfIpg3zRcLWa0o1EoCISxMvu82wQ3M93VkxuGAN_s0DimDLjgFmNABhhBTchBAGxJUv8MJrNwfDnWTB4oFDO-e9pJVXwPZ4ZJdd0H2UEomYU6HswHFbFYSoI-b9_y2fBNkQB9FQpPsWzTHBpIuTUtUaIMR0Ux5S1m6llicAneFsbuic3TA7POxlGSHi9gK1WRMeHNyYYoo3EsgN8M13SZlzBdgNAJktWkWpXGWmTalZfhe3Fd1UJMdzoC7bGHXHJJ-sQtEwOD6crcp3un5aMx5sQ1Cc_24XA5gvJzi1c9qWsZ0UUvLw7WsPxnigbQMhAwuBt8O1C4qtCIdJtlQqTx2P-ab0fepUoxKc.sQ8LemeOljLVeB2C5lKK9g7EFZW0ARAsYTq3g3c4o8Y&dib_tag=se&keywords=olive+green+zip+up+hoodie&qid=1742907357&sr=8-3
Hoodie – Olive Green,"Same Color, Different Type",Olive Green Pullover Hoodie,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDc1MTczMTg0OTcwNTM3OjE3NDI5MDczNjg6c3BfYXRmOjMwMDIzMzMzMDExNjYzMjo6MDo6&url=%2FXENOVAURBAN-Hoodies-Sweatshirt-Graphic-Printed%2Fdp%2FB0D7Q8GXX6%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.rumF5QZEoJMe5Ucn3iIswE5O8mOgt5pDoViAIBhDrCixbn3YyInwlANS9GoS2MRZDbIKAy__lwENX3K2iMUEwH3Lhnn2MwN9waFwIFETWhfs_NaOqxseLpMFtGKPpbvPMOtwgauHcAjZru3hduXhy78HKL2FF-7z7I5KfuhHy5FsYPayHSw3FufDf0rgdrZ7sU7f2gu0j_Pu26DY76Mbo_k80cmXb2wGhBMiZFtI9VuKyiJAUF0aXssZBZjc9ckVhtPAQjIWXZIPe23lES_NiO4pDN9rNZMhpc9vuH5TwL0.8l-g_cpJByb6TbU8twysFtBv_06ljNx6rQ0KfYGU8wY%26dib_tag%3Dse%26keywords%3Dolive%2Bgreen%2Bpullover%2Bhoodie%26qid%3D1742907367%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Hoodie – Olive Green,"Different Color, Same Type",Black Zip-Up Hoodie,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMzIwNzY4ODQ2MDk4NzQ4OjE3NDI5MDc0Njk6c3BfYXRmOjMwMDQzNTgxMzc4NzgzMjo6MDo6&url=%2Ffanideaz-Branded-Regular-Sweatshirt-Mens_Black1_Large%2Fdp%2FB0BDGP5482%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.pZD6CsNlxLBmSaw4koioeafS4fVts0J3kqWL_BusdNBBYMtbOcCIm9VRA6Bd7SuuWhpMhJY1qr7Xa4APdL2bPeImfprGc2rt66gIS9fNuzQs9Wo9nTBhj7ck2Hy5RYGxsM-tySoEll77hYmGnK0wryHldpTYgsBe92dVOO9nlpIVNb446zP586j30W1l0JIMoAxJ7eJjbm1_8ra9LotnC-0rpwMqIa7SLSHWlkg2pkNPkPxjX1NMFPvLRtBPJNaFCKqsiBK1VWsW5ggUpm4ahUXEB_-CodAEuuMcH8LhfPo.oc5Oe02KS6PkXmiG50SJeAG5Tk4uoIzCqOhLmzfJxig%26dib_tag%3Dse%26keywords%3Dblack%2Bzip%2Bup%2Bhoodie%26qid%3D1742907468%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Hoodie – Olive Green,"Different Color, Different Type",Grey Pullover Hoodie,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTE0NTM5ODEyNjMyOTUyOjE3NDI5MDc0ODE6c3BfYXRmOjMwMDM0MzgwNDM3ODEzMjo6MDo6&url=%2FAlan-Jones-Clothing-Oversize-Grey_XL%2Fdp%2FB0CMLXZP7F%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.EdSA_2Bg17SRVZGTOy-GLqrvwhA3zlWuoEKUZUlfp91XtvsX0pkLHSKdeZBb8F-1NrvvtfVhwd423x8A6y5d0W-Ans_H5TrnLmeONduu8sN76bhrN-45JySAWenkUCbg_n6v7pWH9BcgS_FuS8osWpSaR8EKJCOVFYdJ0-zRqfEvfwd83nWfwalAyWQfpjZ3t48mswZofC6iN4YalHL08NeiZ0azCheX3Llhgq2T_c3bZ5R7qiIDXOvf6XclFfHc8K-4-3ljTU_4NtGqHBQnPqpJkd__S5adnhADqcdXzss.oQVgvuDwR3-ShsdAmEY1FHxPb0HG4Spn5eIGezTETkk%26dib_tag%3Dse%26keywords%3Dgrey%2Bpullover%2Bhoodie%26qid%3D1742907481%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Jeans – Dark Grey,"Same Color, Same Type",Dark Grey Slim Fit Jeans,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NjI0NzM3Njg4MDU0NDg1OjE3NDI5MDc0OTE6c3BfYXRmOjMwMDQ3NjQyNDA2NTgzMjo6MDo6&url=%2FSymbol-Premium-Airlite-Stretch-SP-S24-M-DNM-102_Mid-Grey_34%2Fdp%2FB0CSS7GH2C%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.NZOXT6tRDmgUEYFMst6AqXX2ETip4QWsJyI826OcrDEpBxTdhRZPpxvjUA63y5-xMGwchsiXHzjzyCO9BjhRDjwTg_-zWFnUuHXSOY2v2OSHc8tTh-zbnxaBdyFLnes_Um9P2AxCvE2AUI7m_ZZykmDi5Qk3usZesIi8zn9jQUvpglhfv5mOU6XtSUrTKzZ77_RV5F7P75CnU0U3um7dXIQNzbU9tx4mAv-Pej5IlNa4DPZU2tqGPP9VqL70NC6ftwC9_AekK8Jb9Y_Vqyi_U81gMBJQGl0vxuSUORBcHUo.0RrmxeZBTeQVDOk4-FWwU2H8ykeey8PMDbGqiGeUYSc%26dib_tag%3Dse%26keywords%3Ddark%2Bgrey%2Bslim%2Bfit%2Bjeans%26qid%3D1742907491%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Jeans – Dark Grey,"Same Color, Different Type",Dark Grey Straight Fit Jeans,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MDc0NTE0MTgwNjI2ODUzOjE3NDI5MDc1MTM6c3BfYXRmOjMwMDE2NzY4MzI1MzczMjo6MDo6&url=%2FThomas-Scott-Mens-Solid-Jeans%2Fdp%2FB0C8JLJ54Q%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.TSMvRC_dRqNsmk8y0XThoOrVra-VP7kxPBH6c3sgoSsV6v6qLRP5NAagXsZtIJJ_D_VyiC-Jr8iONibv78ChDq_Pm3mbBKfBjiUmaYm31bwr5o1GWqrsovqQyx4ViF-mXeksdBhVIgnZoJR6k6dsKUpcpMNEcmTejKnBwxE2FL8tS3xI9x7J1TlPtHgu3qGkaG1tjrehMT71eiYswd_2Jeo2MZEt0RPECxV3Aa7iJoFDE-kpi2iJ9yZ5vlItLl0BslqY7ntNXcD5fkYke4XDgRJjRF3t1FjJ8sjwRhO5CvA.t5IIeHGk0oatltbRvmhRXBWhhNypQrUSI-oyKEuvByk%26dib_tag%3Dse%26keywords%3Ddark%2Bgrey%2Bstraight%2Bfit%2Bjeans%26qid%3D1742907512%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
